hexagram_line_id,position,is_constituting_ruler,is_governing_ruler,change_text,change_interpretation,created_at,updated_at,deleted_at,hexagram_id
4,4,f,f,"Wavering flight over the depths.
No blame.","A crucial decision confronts a person, granting them the opportunity to pursue greatness or prioritize personal development. The optimal path is unique to each individual, emphasizing the importance of genuine action and self-discovery. By remaining authentic, one can embark on a righteous and faultless journey.",2023-06-12 21:35:09.067398+00,2023-06-16 01:28:20.056404+00,,1
5,5,t,t,"Flying dragon in the heavens.
It furthers one to see the great man.","A respected individual has achieved a higher state of existence, influencing the world significantly. Their presence bestows great fortune upon those fortunate enough to witness it.",2023-06-12 21:38:40.296741+00,2023-06-16 01:29:08.167841+00,,1
13,1,f,t,"Hesitation and hindrance.
It furthers one to remain persevering.
It furthers one to appoint helpers.","When facing obstacles at the start of a venture, it is wise to pause and reflect instead of pushing forward. However, it is crucial to remain committed to the goal and persist despite challenges. To overcome difficulties, it is important to seek suitable allies by cultivating humility and connecting with others. By doing so, one can attract the assistance needed to overcome obstacles and achieve success.",2023-06-12 21:54:21.48027+00,2023-06-12 21:54:21.480279+00,,3
14,2,f,f,"Difficulties pile up.
Horse and wagon part.
He is not a robber;
He wants to woo when the time comes.
The maiden is chaste,
She does not pledge herself.
Ten years--then she pledges herself.","In the face of obstacles, a sudden turn of events occurs, resembling a stranger offering assistance. Although initially distrusted, it becomes evident that this person means well. However, their help should be declined, as it does not come from the appropriate source. Patience is advised, as time will bring about a return to normal conditions. After a decade, the right ally will appear, and we can unite with them. The hexagram uses the analogy of a loyal betrothed girl facing conflicts to provide guidance for a unique situation. When faced with difficulties and unexpected aid from unrelated sources, we should exercise caution and avoid assuming any obligations that may limit our freedom of choice. By waiting patiently, the situation will calm down, and we will achieve our desired outcome.",2023-06-12 21:55:02.609083+00,2023-06-12 21:55:02.609093+00,,3
16,4,f,f,"Horse and wagon part.
Strive for union.
To go brings good fortune.
Everything acts to further.","In challenging circumstances, it is crucial to recognize the need for action despite limited power. Seizing opportunities to establish connections becomes essential. Overcoming false pride and reservations, one should initiate contact, even if it requires self-sacrifice. This demonstrates clarity of purpose. Accepting assistance during difficult times is not shameful. Success follows when the appropriate aid is obtained.",2023-06-12 21:57:13.019111+00,2023-06-12 21:57:13.01912+00,,3
17,5,f,t,"Difficulties in blessing.
A little perseverance brings good fortune.
Great perseverance brings misfortune.","In a challenging situation, when good intentions are misunderstood and distorted, caution is advised. Progress should be gradual, avoiding the forceful pursuit of grand endeavors. Success can only be achieved when there is already widespread trust and confidence. By engaging in diligent and conscientious work, without drawing unnecessary attention, the obstacles will gradually dissipate.",2023-06-12 21:58:08.292058+00,2023-06-12 21:58:08.292069+00,,3
18,6,f,f,"Horse and wagon part.
Bloody tears flow.","Many individuals face overwhelming challenges that prevent them from progressing. Some become trapped and unable to navigate their way forward, leading them to surrender and abandon the fight. This state of resignation is profoundly disheartening.",2023-06-12 21:58:59.191462+00,2023-06-12 21:58:59.191472+00,,3
19,1,f,f,"To make a fool develop
It furthers one to apply discipline.
The fetters should be removed.
To go on in this way brings humiliation.","Law serves as the foundation of education, instilling a sense of seriousness in young individuals who tend to approach life carelessly. It is important to teach them the significance of life and the need to take it seriously. Strict discipline plays a crucial role in helping them develop self-control. Those who treat life as a mere game rarely achieve success. However, discipline should not become a monotonous routine. Excessive drilling not only diminishes a person's abilities but also diminishes their self-esteem.",2023-06-12 22:00:28.07316+00,2023-06-12 22:00:28.073172+00,,4
22,4,f,f,Entangled folly bring humiliation.,"Engaging in empty imaginings is a futile pursuit for the young. The more they cling to such fantasies, the more they invite humiliation. In such cases, the teacher may choose to leave the fool to their own devices, allowing them to experience the resulting humiliation. This tough love approach can serve as a means of rescue.",2023-06-13 00:18:54.904404+00,2023-06-13 00:18:54.90442+00,,4
23,5,t,t,Childlike folly brings good fortune.,Humility and a willingness to learn are essential qualities for inexperienced individuals seeking guidance. Approaching teachers with childlike curiosity and without arrogance leads to valuable assistance and growth.,2023-06-13 00:19:30.709113+00,2023-06-13 00:19:30.709134+00,,4
24,6,f,f,"In punishing folly
It does not further one
To commit transgressions.
The only thing that furthers
Is to prevent transgressions.","In dealing with an incorrigible fool, punishment becomes necessary to enforce compliance. However, it should be distinct from a mere warning and administered without anger. The goal is to prevent unjustifiable excesses and restore order. Punishment serves as a means to restore balance, not an end in itself. This principle applies not only to education but also to government measures addressing transgressions within a population. Government intervention should be preventive, focusing on ensuring public security and peace.",2023-06-13 00:20:02.336265+00,2023-06-13 00:20:02.336276+00,,4
25,1,f,f,"Waiting in the meadow.
It furthers one to abide in what endures.
No blame.","Remaining vigilant and cautious is crucial as the imminent danger has not yet arrived. Despite the simplicity of current conditions, a sense of anticipation lingers. It is important to maintain a routine existence for as long as feasible. By doing so, one can avoid depleting their energy prematurely, steer clear of faults, and prevent weaknesses from arising in the future.",2023-06-13 00:21:24.794926+00,2023-06-13 00:21:24.794939+00,,5
20,2,t,t,"To bear with fools in kindliness brings good fortune.
To know how to take women
Brings good fortune.
The son is capable of taking charge of the household.","This passage emphasizes the importance of mental resilience and inner strength in the absence of external power. It highlights the ability to patiently accept human flaws and show kindness towards others. Furthermore, it suggests extending this attitude of understanding and acknowledgement to women, treating them with chivalrous consideration. The passage also mentions that combining inner strength and outward composure enables effective leadership within a larger social group.",2023-06-13 00:17:34.347032+00,2023-06-16 01:40:56.595263+00,,4
21,3,f,f,"Take not a maiden who. When she sees a man of bronze,
Loses possession of herself.
Nothing furthers.","This passage draws a comparison between a weak person imitating a stronger individual and a girl pursuing a strong man. The main idea conveyed is that imitating someone else can lead to the loss of individuality, and the passage suggests that actively pursuing someone may have negative consequences for both parties involved. It implies that waiting to be pursued is seen as more dignified, but it's important to recognize that the analogy in the passage is rooted in traditional gender norms and may not align with modern perspectives on relationships and personal agency.",2023-06-13 00:18:18.226482+00,2023-06-16 01:47:30.247664+00,,4
27,3,f,f,"Waiting in the mud
Brings about the arrival of the enemy.","Prematurely starting without gathering strength to cross a stream can lead to being stuck on a muddy bank. This vulnerable position attracts external enemies who exploit the situation. To avoid harm, one must exercise caution and recognize the gravity of the situation.",2023-06-13 00:22:57.588337+00,2023-06-13 00:22:57.58835+00,,5
28,4,f,f,"Waiting in blood.
Get out of the pit.","The situation is perilous and life-threatening. Bloodshed is imminent, leaving us trapped with no way to progress or retreat. Our only option is to remain steadfast and let destiny unfold. By maintaining composure and refraining from actions that could worsen the situation, we can navigate our way out of this dangerous predicament.",2023-06-13 00:24:20.431182+00,2023-06-13 00:24:20.431195+00,,5
29,5,t,t,"Waiting at meat and drink.
Perseverance brings good fortune.","During challenging times, there are brief periods of peace to be seized upon. By strengthening ourselves during these intervals, we prepare for future struggles. It is crucial to find joy in the present without losing sight of our ultimate goal, as perseverance is key to achieving victory. This principle applies not only to personal life but also to public endeavors. It is impossible to accomplish everything at once. True wisdom lies in granting people enough leisure to rejuvenate their enthusiasm for work until the task is complete. This approach distinguishes this hexagram from Obstruction, as we remain serene and cheerful, knowing our cause is just while we wait.",2023-06-13 00:28:11.094518+00,2023-06-13 00:28:11.094531+00,,5
30,6,f,f,"One falls into the pit.
Three uninvited guests arrive.
Honor them, and in the end there will be good fortune.","Inevitably, after a period of waiting, a critical situation emerges, seemingly rendering all efforts futile. However, unexpected intervention occurs, leaving one uncertain of its purpose: rescue or destruction? To navigate this, it is crucial to remain attentive and avoid withdrawing in reluctance. Instead, greet the new turn with reverence. This approach enables one to escape peril and achieve a favorable outcome. Frequently, even fortunate events arrive in unfamiliar guises, requiring open-mindedness to recognize their true nature.",2023-06-13 00:28:48.882363+00,2023-06-13 00:28:48.882378+00,,5
31,1,f,f,"If one does not perpetuate the affair,
There is a little gossip.
In the end, good fortune comes.","When faced with an emerging conflict, it is wise to let go of the issue, especially if the opposing party holds greater power. It is not recommended to risk escalating the conflict towards a resolution. Although minor disagreements may arise, overall outcomes tend to be favorable.",2023-06-13 00:29:43.853157+00,2023-06-13 00:29:43.853168+00,,6
32,2,f,f,"One cannot engage in conflict;
One returns home, gives way.
The people of his town,
Three hundred households,
Remain free of guilt.",Retreating in the face of a stronger enemy is not shameful. Withdrawing in time prevents negative outcomes. Engaging in an unequal fight due to misplaced honor leads to disaster. Adopting a wise and conciliatory approach benefits the entire community by avoiding entanglement in the conflict.,2023-06-13 00:30:38.060979+00,2023-06-13 00:30:38.060995+00,,6
33,3,f,f,"To nourish oneself on ancient virtue induces perseverance.
Danger. In the end, good fortune comes.
If by chance you are in the service of a king,
Seek not works.","An expansive disposition can lead to danger. Only what is honestly acquired through merit is a lasting possession. Though contested, one cannot be robbed of what is truly one's own. Possessions obtained through one's own abilities cannot be lost. When serving a superior, avoiding conflict means not seeking works for personal prestige. Simply completing the work is sufficient; let the honor go to others.",2023-06-13 00:31:22.202621+00,2023-06-13 00:31:22.202636+00,,6
35,5,t,t,"To contend before him
Brings supreme good fortune.","A powerful and just arbiter can bring confidence and support to the right side in a conflict, leading to great good fortune for those who are in the right.",2023-06-13 00:33:09.333678+00,2023-06-13 00:33:09.333691+00,,6
36,6,f,f,"Even if by chance a leather belt is bestowed on one,
By the end of a morning
It will have been snatched away three times.","A victorious individual receives a decoration but faces persistent attacks, leading to an unending cycle of conflict.",2023-06-13 00:35:35.272005+00,2023-06-13 00:35:35.272019+00,,6
37,1,f,f,"An army must set forth in proper order.
If the order is not good, misfortune threatens.","Success in a military operation depends on strict order, a just cause, and well-coordinated troops. Without these, failure is inevitable.",2023-06-13 01:18:34.919425+00,2023-06-13 01:18:34.91944+00,,7
39,3,f,f,"Perchance the army carries corpses in the wagon.
Misfortune.","One interpretation suggests that defeat occurs when someone other than the chosen leader interferes with command. Another explanation relates to a Chinese custom where a boy represents the deceased during burials and sacrifices. In this context, the phrase ""carries corpses in the wagon"" implies that authority has been usurped by others. It is possible that a copying error occurred, mistaking the character for ""all"" as ""corpse."" Thus, the revised understanding is that if the multitude assumes leadership of the army, misfortune will follow.",2023-06-13 01:24:39.363139+00,2023-06-13 01:24:39.363151+00,,7
40,4,f,f,The army retreats. No blame.,"In the presence of a formidable adversary, engaging in a futile battle is unwise. Instead, a strategic retreat is the prudent course of action to preserve the army from defeat and fragmentation. Insisting on a hopeless struggle, irrespective of circumstances, does not demonstrate bravery or power.",2023-06-15 15:16:19.570837+00,2023-06-15 15:16:19.570849+00,,7
41,5,t,t,"There is game in the field.
It furthers one to catch it.
Without blame.
Let the eldest lead the army.
The younger transports corpses;
Then perseverance brings misfortune.","An enemy invasion is indicated as the game ventures into the fields from its usual forest haunts. The situation calls for decisive action, but it should not descend into chaos. A skilled leader is necessary to guide the army in combat, preventing indiscriminate violence. Failure to do so may lead to defeat and potential harm despite courage and determination.",2023-06-15 15:17:04.956495+00,2023-06-15 15:17:04.956506+00,,7
38,2,t,t,"In the midst of the army.
Good fortune. No blame.
The king bestows a triple decoration.","The leader's active engagement and connection with their army, experiencing successes and failures together, is vital for unity and meeting expectations. Recognizing and appreciating the leader's contributions is important, as it reflects honor on the entire army.",2023-06-13 01:19:25.828677+00,2023-06-16 02:01:12.260614+00,,7
42,6,f,f,"The great prince issues commands,
Founds states, vests families with fiefs.
Inferior people should not be employed.","Following a victorious war, the king distributed estates and fiefs among loyal vassals. However, caution is advised to prevent undeserving individuals from attaining positions of power. Those who have assisted can be compensated monetarily, but granting them land or ruling privileges must be avoided to prevent potential misuse of power.",2023-06-15 15:17:39.007101+00,2023-06-15 15:17:39.007114+00,,7
43,1,f,f,"Hold to him in truth and loyalty;
This is without blame.
Truth, like a full earthen bowl
Thus in the end
Good fortune comes from without.","The key to forming genuine relationships lies in fundamental sincerity, where the substance holds greater significance than superficial appearances. It is represented by a full earthen bowl, emphasizing the value of inner content over empty form. The sincerity is not conveyed through clever words but rather through the strength of one's character. This strength possesses the ability to attract positive outcomes and good fortune externally.",2023-06-15 15:18:29.093305+00,2023-06-15 15:18:29.093316+00,,8
44,2,f,f,"Hold to him inwardly.
Perseverance brings good fortune.","A person who responds diligently and appropriately to external demands maintains intrinsic relationships and preserves their sense of self. However, seeking association with others in a submissive and opportunistic manner leads to self-degradation. Such behavior deviates from the path of a noble individual who never compromises their dignity.",2023-06-15 15:18:59.138402+00,2023-06-15 15:18:59.138412+00,,8
45,3,f,f,You hold together with the wrong people.,"When interacting with people outside our social circle, caution is necessary to avoid falling into false intimacy due to familiarity. This can lead to negative outcomes. It is important to maintain sociability without deepening personal connections, as this allows us the freedom to form relationships with those who share our interests in the future.",2023-06-15 15:19:28.037124+00,2023-06-15 15:19:28.037134+00,,8
46,4,f,f,"Hold to him outwardly also.
Perseverance brings good fortune.","In established relationships, it is important to openly express our attachment while staying loyal and avoiding distractions.",2023-06-15 15:24:33.596785+00,2023-06-15 15:24:33.596796+00,,8
48,6,f,f,"He finds no head for holding together.
Misfortune.",A strong start is crucial for a successful outcome. Missing the opportunity for commitment can lead to regret later on.,2023-06-15 15:25:44.275798+00,2023-06-15 15:25:44.27581+00,,8
49,1,f,f,"Return to the way.
How could there be blame in this?
Good fortune.",A strong person naturally faces obstacles and adapts by choosing a path that allows flexibility to advance or retreat. This approach leads to good fortune as it is wise to avoid using force to achieve goals.,2023-06-15 15:26:25.958148+00,2023-06-15 15:26:25.958158+00,,9
50,2,f,f,"He allows himself to be drawn into returning.
Good fortune.","When faced with obstacles and the realization that progress is hindered, it is wise for a determined individual to observe the experiences of others. If the timing is unfavorable, it is not prudent to persist against the odds. Instead, one should align with like-minded individuals and retreat. This choice brings positive outcomes as it avoids unnecessary risks and protects one's well-being.",2023-06-15 15:27:01.181325+00,2023-06-15 15:27:01.181336+00,,9
51,3,f,f,"The spokes burst out of the wagon wheels.
Man and wife roll their eyes.","In an attempt to overcome obstacles, a weak force presses forward, disregarding the slight resistance. However, this offensive is destined to fail as the weak actually hold the power in this situation. External conditions impede progress, akin to a wagon halted by a loss of wheel spokes. Unfortunately, we fail to recognize this indication from fate, leading to frustrating arguments resembling those of a married couple. This unfavorable state hampers a positive outcome, as the difficulties are too numerous. Consequently, even the strong are unable to wield their power effectively and influence others as intended. They encounter unexpected setbacks instead of easy victories, resulting in a compromise to their dignity.",2023-06-15 15:27:47.003046+00,2023-06-15 15:27:47.003057+00,,9
52,4,t,f,"If you are sincere, blood vanishes and fear gives way.
No blame.","In counseling a powerful individual, it is necessary to exercise restraint to prevent the escalation of violence. However, the pursuit of impartial truth holds immense power, capable of overcoming such obstacles. By adhering to truth, one can achieve their desired outcome while eliminating the risk of bloodshed and dispelling fear.",2023-06-15 15:28:19.745772+00,2023-06-15 15:28:19.745784+00,,9
53,5,f,t,"If you are sincere and loyally attached,
You are rich in your neighbor.","Partners' loyalty strengthens their bond, as they complement each other. For the weaker person, loyalty is shown through devotion, while for the stronger person, it is displayed through trustworthiness. This mutual reinforcement creates valuable wealth, which stands out because it is not selfishly kept, but shared with friends. Sharing pleasure leads to an amplified sense of enjoyment.",2023-06-15 15:28:47.92036+00,2023-06-15 15:28:47.920374+00,,9
55,1,f,f,Simple conduct. Progress without blame.,"The hexagram signifies progress and the importance of contentment. By embracing simplicity and avoiding restless ambition, one can make genuine progress without blame. However, those driven solely by a desire to escape poverty and lowliness tend to become arrogant and indulgent once they achieve their goals. In contrast, those who are dedicated to their work and pursue progress with purpose are more likely to accomplish meaningful things and find satisfaction.",2023-06-15 15:30:39.775052+00,2023-06-15 15:30:39.775063+00,,10
54,6,f,f,"The rain comes, there is rest.
This is due to the lasting effect of character.
Perseverance brings the woman into danger.
The moon is nearly full.
If the superior man persists,
Misfortune comes.","Caution is advised despite gradual success from small cumulative effects and reverence for a superior character. The receptive principle, representing the weaker element, should avoid boasting to prevent danger. The moon's dark power is strongest near fullness but wanes when full and opposite the sun. It is wise to be content with current achievements instead of rushing forward prematurely, as it could result in misfortune.",2023-06-15 15:30:01.599829+00,2023-06-16 02:34:58.58156+00,,9
56,2,f,f,"Treading a smooth, level course.
The perseverance of a dark man
Brings good fortune.","A solitary sage, detached from worldly affairs, leads a simple and content life, unaffected by external influences or desires. By embracing a serene path, devoid of expectations or demands, the sage remains free from entanglements and confrontations with fate.",2023-06-15 15:31:16.010533+00,2023-06-15 15:31:16.010543+00,,10
57,3,t,f,"A one-eyed man is able to see,
A lame man is able to tread.
He treads on the tail of the tiger.
The tiger bites the man.
Misfortune.
Thus does a warrior act on behalf of his great prince.","When someone has physical limitations like being one-eyed or lame, their abilities are impaired. Although a one-eyed person can still see, their vision is not clear. Similarly, a lame person can treat, but they cannot make significant progress. It is unwise for individuals with such limitations to perceive themselves as strong and engage in risky situations. By doing so, they invite disaster since they are taking on tasks beyond their capabilities. This bold and reckless approach, disregarding one's actual abilities, may only be justified in the context of a warrior fighting for their leader.",2023-06-15 15:32:32.420921+00,2023-06-15 15:32:32.420931+00,,10
58,4,f,f,"He treads on the tail of the tiger.
Caution and circumspection
Lead ultimately to good fortune.","A dangerous enterprise requires both inner power and cautious external behavior. This differs from the preceding line, where one is weak internally but advances outwardly. Success is assured by overcoming danger through steady progress.",2023-06-15 15:33:21.436527+00,2023-06-15 15:33:21.436537+00,,10
59,5,f,t,"Resolute conduct.
Perseverance with awareness of danger.",The ruler of the hexagram requires resolute conduct while being aware of the associated dangers to achieve success.,2023-06-15 15:33:59.051874+00,2023-06-15 15:33:59.051886+00,,10
60,6,f,f,"Look to your conduct and weigh the favorable signs.
When everything is fulfilled, supreme good fortune comes.","To determine if good fortune will come, we must assess our actions and their outcomes. Positive effects indicate certain good fortune. Self-awareness is limited, and one can only gauge what to expect by observing the consequences of their actions and the results of their efforts.",2023-06-15 15:42:44.815942+00,2023-06-15 15:42:44.815952+00,,10
61,1,f,f,"When ribbon grass is pulled up, the sod comes with it.
Each according to his kind.
Undertakings bring good fortune.","During prosperous times, capable individuals attract others who share their mindset, much like pulling up ribbon grass results in a cluster being uprooted due to interconnected roots. In such periods, when one can expand their influence, accomplished individuals are motivated to venture into the world and achieve significant accomplishments.",2023-06-15 15:44:17.331595+00,2023-06-15 15:44:17.331605+00,,11
136,4,f,f,"The bed is split up to the skin.
Misfortune.","The disaster not only impacts the location, but also the individuals within. There are no warnings or additional remarks provided. The misfortune has reached its utmost level, making it impossible to prevent.",2023-06-16 15:37:50.278912+00,2023-06-16 15:37:50.278925+00,,23
62,2,t,t,"Bearing with the uncultured in gentleness,
Fording the river with resolution,
Not neglecting what is distant,
Not regarding one's companions:
Thus one may manage to walk in the middle.","In times of prosperity, it is crucial to have a noble spirit and tolerate imperfect individuals. A skilled master can make use of any material at hand. However, this generosity does not imply weakness. In prosperous times, we must be willing to take risks, even in perilous endeavors like crossing a river if necessary. We should not neglect distant matters but pay careful attention to everything. It is crucial to avoid factionalism and the dominance of cliques. Even if like-minded people unite, they should not form factions for personal gain; instead, each person should fulfill their responsibilities. These are four ways to overcome the hidden danger of gradual slackening during peaceful times. This approach allows us to find the balanced path for action.",2023-06-15 15:45:03.659494+00,2023-06-15 15:46:19.662808+00,,11
63,3,f,f,"No plain not followed by a slope.
No going not followed by a return.
He who remains persevering in danger
Is without blame.
Do not complain about this truth;
Enjoy the good fortune you still possess.","The law of change governs everything on Earth, where prosperity is inevitably followed by decline. Evil can be restrained but not eradicated permanently; it always resurfaces. This realization may induce melancholy, but its purpose is to prevent us from being deluded by good fortune. By staying aware of the danger, we can persevere and avoid mistakes. As long as one's inner strength and richness surpass external circumstances, and as long as one maintains superiority over fate, fortune will not abandon them.",2023-06-15 23:15:05.912793+00,2023-06-15 23:15:05.912804+00,,11
64,4,f,f,"He flutters down, not boasting of his wealth,
Together with his neighbor,
Guileless and sincere.","In a climate of trust, individuals of high status naturally engage with those of lower status without flaunting their wealth. This interaction arises from genuine belief rather than external factors. The connection occurs effortlessly and reflects their inner conviction.",2023-06-15 23:15:44.082033+00,2023-06-15 23:15:44.082047+00,,11
65,5,t,t,"The sovereign I
Gives his daughter in marriage.
And supreme good fortune.","During the reign of T'ang the Completer (""the sovereign I""), imperial princesses were required to obey their husbands despite holding higher ranks. This decree demonstrated a humble and harmonious relationship between individuals of different social statuses, leading to happiness and blessings.",2023-06-15 23:16:34.203645+00,2023-06-15 23:16:34.203657+00,,11
312,6,t,t,"Noble-hearted keeping still.
Good fortune.","The attainment of tranquillity is complete, bringing rest and resignation in both specific matters and life as a whole. This leads to peace and good fortune in all aspects.",2023-06-18 00:11:53.422333+00,2023-06-18 00:11:53.422348+00,,52
66,6,f,f,"The wall falls back into the moat.
Use no army now.
Make your commands known within your own town.
Perseverance brings humiliation.","The imminent change foretold in the hexagram has commenced as the town wall recedes into the moat. The hour of doom is upon us. In this situation, it is futile to resist fate through forceful opposition. Our only option is to protect ourselves within our close-knit community. If we persist in opposing the impending calamity in the conventional manner, our downfall will be inevitable, leading to further disgrace.",2023-06-15 23:17:24.687673+00,2023-06-15 23:17:24.687689+00,,11
67,1,f,f,"When ribbon grass is pulled up, the sod comes with it.
Each according to his kind.
Perseverance brings good fortune and success.","The first line in this hexagram is similar to the first line in the Peace hexagram, but conveys a different meaning. While Peace represents progress towards an official career, Standstill symbolizes withdrawal from public life. The text emphasizes that perseverance leads to good fortune and success, rather than highlighting specific undertakings. In situations where our influence holds no weight, retiring spares us from humiliation. By safeguarding our personalities, we can achieve success on a deeper level.",2023-06-15 23:20:09.062505+00,2023-06-15 23:20:52.909397+00,,12
68,2,t,f,"They bear and endure;
This means good fortune for inferior people.
The standstill serves to help the great man to attain success.","Inferior individuals often seek to flatter their superiors and would even tolerate the superior person if they could resolve their own confusion. This works out well for the inferior individuals. However, the great person remains unaffected by this situation and accepts the consequences of the stalemate. They do not mix with the inferior crowd as it is not their domain. Through their willingness to endure personal hardships, they ensure the triumph of their core principles.",2023-06-15 23:21:30.65371+00,2023-06-15 23:21:30.653724+00,,12
69,3,f,f,They bear shame.,"Illegitimate rulers eventually feel ashamed and inwardly recognize their incompetence, leading to a positive change.",2023-06-15 23:22:02.578393+00,2023-06-15 23:22:02.578406+00,,12
70,4,f,f,"He who acts at the command of the highest
Remains without blame.
Those of like mind partake of the blessing.","In times of stagnation, change is imminent. Restoring order requires both a sense of duty and the authority to do so. Attempting to impose one's own judgment may lead to mistakes and failure. However, those who are genuinely called to the task are supported by favorable circumstances and find like-minded individuals who share in their success.",2023-06-15 23:22:30.883565+00,2023-06-15 23:22:30.883577+00,,12
71,5,f,t,"Standstill is giving way.
Good fortune for the great man.
""What if it should fail, what if it should fail?""
In this way he ties it to a cluster of mulberry shoots.","During times of transition, it is crucial to exercise caution and anticipate potential failures. While the arrival of the right person brings hope, it is important to recognize the risks involved. When a mulberry bush is cut down, it generates robust shoots from its roots, serving as a symbol for securing success. Thus, tying something to a cluster of mulberry shoots signifies a strategy to ensure certainty in achieving one's goals.",2023-06-15 23:23:36.069444+00,2023-06-15 23:23:36.069459+00,,12
72,6,f,f,"The standstill comes to an end.
First standstill, then good fortune.",A standstill requires intervention to end it. Peace needs ongoing effort to avoid stagnation and disintegration. Disintegration doesn't automatically lead to peace and prosperity; active measures are necessary. This highlights the need for a proactive and creative approach to restore order in the world.,2023-06-15 23:24:20.414315+00,2023-06-15 23:24:20.414325+00,,12
73,1,f,f,"Fellowship with men at the gate.
No blame.","At the outset, unity should prevail, bringing people together. Everyone is equally connected, with no divergent goals or errors. Accessibility to fundamental principles is vital for any union. Avoid secret agreements, as they lead to misfortune.",2023-06-15 23:25:13.977814+00,2023-06-15 23:25:13.977825+00,,13
