hexagram_id,chinese_character,wade_giles_romanization,pinyin_romanization,english_translation,hexagram_symbol,image_url,description,judgment_text,judgment_interpretation,image_text,image_interpretation,full_change_text,full_change_interpretation,created_at,updated_at,deleted_at,lower_nuclear_trigram_id,lower_trigram_id,upper_nuclear_trigram_id,upper_trigram_id,binary_value_string
17,隨,sui,suí,Following,䷐,visual_i_ching_app/img/hex17.png,"The trigram ""Joyous"" (duì) is above, representing gladness, while ""Arousing"" (zhèn), symbolizing movement, is below. The joy of movement leads to followers. The Joyous is associated with the youngest daughter, while the Arousing represents the eldest son. An older man shows deference and consideration to a young girl, motivating her to follow him.","Following has supreme success.
Perseverance furthers. No blame.","To gain a following, one must adapt and learn to serve. Ruling by force or cunning breeds resistance, hindering voluntary followers. Joyous assent is crucial for effective leadership. Perseverance and consistency in doing right prevent negative outcomes. We should only ask others to follow us if we meet this condition. Similarly, we can follow others without harm when they fulfill it. Obtaining a following through adaptation is a favorable and important concept.","Thunder in the middle of the lake:
The image of Following.
Thus the superior man at nightfall
Goes indoors for rest and recuperation.","In autumn, electricity withdraws into the earth, resting. The image of thunder in the middle of the lake represents its winter stillness, not its movement. This image conveys the concept of adaptation to the current circumstances. Thunder in the middle of the lake signifies times of darkness and rest. Likewise, a wise person, having been active throughout the day, allows themselves to rest and recover at night. Only by adapting to the situation and avoiding unnecessary resistance can one create favorable conditions.","","",2023-06-09 17:38:28.348014+00,2023-06-19 18:57:48.855056+00,,7,4,5,2,100110
16,豫,yü,yù,Enthusiasm,䷏,visual_i_ching_app/img/hex16.png,"The fourth line, representing the leading official, receives obedience from the weak lines. The upper trigram, zhèn, symbolizes movement, while the lower trigram, kūn, represents obedience and devotion. This initiates a movement that evokes enthusiasm and carries everyone along. Another significant aspect is the principle of following the path of least resistance, which applies to natural events and human life in this hexagram.","Enthusiasm. It furthers one to install helpers
And to set armies marching.","Enthusiasm arises when a leader aligns with the spirit of the people and gains their willing obedience. To evoke enthusiasm, a leader must adapt to the character of those they lead. The foundation of inviolable natural laws lies in moving along the path of least resistance. These laws represent the inherent harmony within things, ensuring the regularity of celestial bodies and natural events. Similarly, in human society, only laws that resonate with popular sentiment can be enforced, while those opposing it provoke resentment. Enthusiasm also facilitates the recruitment of helpers for a task without encountering hidden opposition. Furthermore, it unifies mass movements, such as in war, leading to victory.","Thunder comes resounding out of the earth:
The image of Enthusiasm.
Thus the ancient kings made music
In order to honor merit,
And offered it with splendor
To the Supreme Deity,
Inviting their ancestors to be present.","During summer, thunderstorms bring relief and release tension, just as music has the power to ease the heart and evoke emotions. Music's mysterious influence has been utilized by rulers throughout history, who considered it sacred and used it to purify emotions and honor heroes. It served as a bridge to the unseen world, and in temples, it connected people with God through music and pantomimes. These ceremonies united reverence for the Creator with respect for ancestors, who were regarded as divine guests. This fusion of human and divine elements established a connection between Heaven and Earth, making the ruler the Son of Heaven. Confucius believed that understanding these rituals would grant one the ability to govern the world. These concepts represent the essence of Chinese culture.","","",2023-06-09 17:35:42.022947+00,2023-06-19 18:57:33.363499+00,,7,8,6,4,000100
18,蠱,ku,gŭ,Work on What Has Been Spoiled [Decay],䷑,visual_i_ching_app/img/hex18.png,"The Chinese character gŭ symbolizes decay, depicted as a bowl with breeding worms. It signifies stagnation caused by the combination of indifference and inertia. The hexagram represents the need to eliminate the cause of guilt, emphasizing the task of repairing what has been spoiled.","Work on What Has Been Spoiled
Has supreme success.
It furthers one to cross the great water.
Before the starting point, three days.
After the starting point, three days.","Man's responsibility for the spoiling of certain things can also be the means of rectification. The current state of corruption is not a result of unchangeable destiny, but rather the consequence of misusing freedom. Engaging in efforts to improve the situation is favorable, as it aligns with the possibilities of the present time. We should not shy away from the challenges and risks involved, symbolized by crossing the great water, but instead tackle them with vigor. However, success depends on careful consideration. This is conveyed by the lines indicating three days before and after the starting point. Prior to taking action, we must understand the root causes of corruption and proceed cautiously during the preparation phase. Once we embark on the new path, we must ensure a safe and steady transition to avoid relapse. Thus, we should be attentive to the post-starting time. To overcome the decay caused by inertia and apathy, we must exhibit decisiveness and energy, leading to a new beginning after the conclusion of the process.","The wind blows low on the mountain:
The image of Decay.
Thus the superior man stirs up the people
And strengthens their spirit.","The slow wind on the mountain damages vegetation, presenting a challenge for improvement. Similarly, debasing attitudes and fashions corrupt society. Effective methods must derive from the two trigrams, ensuring orderly unfolding of their effects. The superior must initiate change by arousing public opinion, like the stirring wind, and cultivate a calm and nourishing environment, resembling the tranquil mountain.","","",2023-06-09 17:41:46.774659+00,2023-06-19 18:58:15.247966+00,,2,5,4,7,011001
19,臨,lin,lín,Approach,䷒,visual_i_ching_app/img/hex19.png,"The Chinese word ""lín"" has a range of meanings. In the Book of Changes, it is first explained as ""becoming great."" This refers to the two strong lines growing into the hexagram from below, symbolizing growth and expansion. The concept also includes approaching what is lower and the attitude of a person in a high position towards others, as well as engaging in affairs. This hexagram is associated with the twelfth month, when the light power starts to rise again after the winter solstice.","Approach has supreme success.
Perseverance furthers.
When the eighth month comes,
There will be misfortune.","The hexagram indicates a time of optimistic progress and approaching spring. Joy and patience unite people of different statuses. Success is assured, but determination and persistence are required to fully benefit from the favorable conditions. However, it is important to note that spring is temporary. In the eighth month, the situation reverses, and only two strong, bright lines remain, retreating instead of advancing (refer to the next hexagram). It is crucial to anticipate this change in advance. By addressing potential evil before it manifests, even before it stirs, we can overcome it.","The earth above the lake:
The image of Approach.
Thus the superior man is inexhaustible
In his will to teach,
And without limits
In his tolerance and protection of the people.","The earth and lake metaphorically represent the interaction between individuals of higher and lower status. The earth symbolizes the higher position, while the lake represents those beneath. This signifies the approach and condescension of the person in power towards those below them. The image is divided into two parts, reflecting the attitude the person will have towards these individuals. The lake's inexhaustible depth parallels the sage's boundless willingness to impart knowledge to humanity. Similarly, the earth's vastness symbolizes the sage's inclusive care and support for all people, leaving no part of humanity excluded.","","",2023-06-09 17:45:14.100728+00,2023-06-19 18:58:36.567917+00,,4,2,8,8,110000
20,觀,kuan,guān,Contemplation (View),䷓,visual_i_ching_app/img/hex20.png,"The Chinese name for this hexagram has a double meaning, representing both contemplation and being seen as an example. It is associated with a tower that provided a wide view and served as a landmark. The hexagram symbolizes a ruler who contemplates heavenly principles and governs wisely to set a high standard for the people. The hexagram is connected to the eighth month and signifies the retreat of light and the increase of darkness, but this aspect is not crucial to its overall interpretation.","Contemplation. The ablution has been made,
But not yet the offering.
Full of trust they look up to him.","In China, the sacrificial ritual starts with ablution and libation to invoke the Deity. The sacred moment between these ceremonies is highly significant, evoking deep inner concentration. The genuine piety and expression of faith during this contemplation have a profound impact on observers. Similarly, nature exhibits a solemnity as natural events adhere to universal laws. Understanding the divine meaning behind the functioning of the universe grants individuals the ability to produce similar effects when influencing others. This requires inner concentration cultivated through religious contemplation by strong and faithful individuals. They comprehend the mysterious and divine laws of life, embodying these laws through profound inner focus. Consequently, a concealed spiritual power emanates from them, unconsciously influencing and dominating others.","The wind blows over the earth:
The image of Contemplation.
Thus the kings of old visited the regions of the world,
Contemplated the people,
And gave them instruction.","The hexagram symbolizes the practice of ancient kings. They made regular journeys to survey their realms and ensure that no customs went unnoticed. Through their influence, unsuitable customs could be changed. This highlights the power of a superior personality. Such an individual possesses deep insight into the sentiments of the masses and cannot be deceived. Moreover, their mere existence and powerful presence sway the people, much like the wind bending the grass.","","",2023-06-09 17:48:06.363774+00,2023-06-19 18:58:52.340819+00,,8,8,7,5,000011
21,噬嗑,shih ho,shì kè,Biting Through,䷔,visual_i_ching_app/img/hex21.png,"This hexagram depicts an open mouth obstructed by an obstacle between the teeth. To unite the lips, one must vigorously bite through the obstruction. Representing thunder and lightning, it signifies the forceful removal of obstacles in nature. Energetic biting overcomes the barrier hindering lip closure, while storms with thunder and lightning resolve disharmony in nature. Legal measures and penalties counteract disruptions caused by criminals and slanderers, restoring social harmony. Unlike the hexagram sòng, which pertains to civil disputes, this hexagram focuses on criminal lawsuits.","Biting Through has success.
It is favorable to let justice be administered.","In situations where unity is obstructed, active and decisive action is necessary for success. The obstruction typically stems from a traitor or rumor-spreader who hinders progress. To prevent lasting damage, immediate and forceful measures must be taken. Deliberate obstructions do not disappear on their own and require judgment and punishment. However, it is crucial to approach the situation correctly. The hexagram combines clarity and excitement, with yielding and hardness. Excessive violence or weakness should be avoided. A balanced approach is essential. The person in a leadership position should be naturally gentle yet command respect through their actions.","Thunder and lighting:
The image of Biting Through.
Thus the kings of former times made firm the laws
Through clearly defined penalties.","Penalties are crucial applications of the law, as specified by legal regulations. Differentiating between mild and severe penalties based on the nature of crimes promotes clarity, symbolized by illuminating understanding. Justly enforcing penalties strengthens the law, represented by the fear-inspiring impact of thunder. This combination of clarity and severity fosters respect and should not be mistaken as the sole purpose of penalties. Social disruptions arise when penal codes lack clarity and their execution lacks efficiency. To fortify the law, it is imperative to ensure clarity in legislation and ensure that penalties are both definite and prompt.","","",2023-06-09 17:52:25.650003+00,2023-06-19 18:59:11.613422+00,,7,4,6,3,100101
22,賁,pi,bì,Grace,䷕,visual_i_ching_app/img/hex22.png,"This hexagram depicts a fire emerging from the hidden depths of the earth, illuminating and enhancing the beauty of the mountain. Grace and beauty are essential for harmonious unions, ensuring order and pleasure instead of chaos.","Grace has success.
In small matters
It is favorable to undertake something.","The essence of success lies in grace, which serves as an adornment rather than a necessity. In the lower trigram of fire, a weak line enhances the beauty of two strong lines, yet the strength remains the fundamental element. Similarly, in the upper trigram of the mountain, the strong line takes precedence, emphasizing its decisive role. The sun's powerful light in the sky sustains life, while the moon and stars provide pleasing diversity. In human affairs, aesthetic form arises from enduring traditions, akin to steadfast mountains, embellished with clear beauty. By observing celestial forms, we comprehend the passage of time and its evolving demands. By studying societal forms, we gain the ability to shape the world.","Fire at the foot of the mountain:

The image of Grace.
Thus does the superior man proceed
When clearing up current affairs.
But he dare not decide controversial issues in this way.","The fire's glow enhances the mountain's beauty, yet its reach is limited. Similarly, a pleasing appearance can bring attention to trivial matters, but it lacks the depth to address important issues. Genuine commitment is needed for resolving significant questions.","","",2023-06-09 17:54:28.80216+00,2023-06-19 18:59:30.803468+00,,6,3,4,7,101001
24,復,fu,fù,Return (The Turning Point),䷗,visual_i_ching_app/img/hex24.png,"After the dark lines displace the light lines, a new light line emerges, marking a turning point. The darkness recedes, symbolizing the triumph of light. This hexagram corresponds to the eleventh month, which aligns with the winter solstice in December-January.","Return. Success.
Going out and coming in without error.
Friends come without blame.
To and fro goes the way.
On the seventh day comes return.
It furthers one to have somewhere to go.","After a period of decline, a turning point emerges, bringing back a powerful light that was once banished. This movement is not forced, but rather arises naturally from the devotion symbolized by the upper trigram Kūn. The transformation from old to new becomes effortless and harm-free, as it aligns with the current time. Societies form based on shared views, openly and harmoniously, excluding selfish divisions and avoiding mistakes. The concept of Return follows the natural cycle, completing itself without the need for artificial hastening. Everything unfolds in due time. This reflects the harmony of heaven and earth. Movement occurs in six stages, with the seventh stage marking the return. Just as the winter solstice follows the summer solstice after seven months, and sunrise comes seven double hours after sunset, seven represents the emergence of young light, achieved by adding one to the number six, symbolizing great darkness. Thus, stillness gives way to motion.","Thunder within the earth:
The image of The Turning Point.
Thus the kings of antiquity closed the passes
At the time of solstice.
Merchants and strangers did not go about,
And the ruler
Did not travel through the provinces.","In China, the winter solstice is celebrated as a period of rest, reflecting the belief that it is a time for renewal. This tradition continues during the new year. Winter represents a phase of dormant life energy, symbolized by thunder, known as the Arousing. Movement is just beginning and needs to be conserved through rest to prevent premature dissipation. This principle applies to various situations, such as the restoration of health after illness and the rekindling of understanding after estrangement. The initial stages of these processes require gentle treatment and nurturing to facilitate their full blossoming.","","",2023-06-09 18:01:42.123869+00,2023-06-19 19:00:04.888314+00,,8,4,8,8,100000
27,頤,i,yí,The Corners of the Mouth (Providing Nourishment),䷚,visual_i_ching_app/img/hex27.png,"This hexagram depicts an open mouth with firm lines of the lips above and below, forming an opening. It symbolizes the process of nourishment. The lower three lines represent nourishment of oneself, particularly of the body, while the upper three lines represent nourishment and care for others on a spiritual level.","The Corners of the Mouth.
Perseverance brings good fortune.
Pay heed to the providing of nourishment
And to what a man seeks
To fill his own mouth with.","The key to care and nourishment lies in directing them towards the right people and attending to our own nourishment appropriately. By observing whom one cares for and which aspects of their own nature they nurture, we can understand their character. Nature provides sustenance to all living beings. A noble individual fosters and supports exceptional individuals to benefit society as a whole. Mencius emphasizes that to determine someone's superiority, we must observe which aspects of their being they consider important. The body consists of superior and inferior, significant and insignificant parts. We should not harm the important parts for the sake of the unimportant, nor should we harm the superior parts for the sake of the inferior. Those who cultivate their inferior traits are considered inferior individuals, while those who nurture their superior traits are regarded as superior individuals.","At the foot of the mountain, thunder:
The image of Providing Nourishment.
Thus the superior man is careful of his words
And temperate in eating and drinking.","In the spring, when life forces stir, God is represented by the sign of the Arousing. This symbolizes the emergence of all things anew. Similarly, God is represented by the sign of Keeping Still, which signifies the perfection of things in early spring when seeds fall to the earth. This imagery illustrates nourishment through both movement and tranquility. The superior individual uses this as a model for cultivating and nourishing their character. Words are a form of outward movement, while eating and drinking involve inward movement. Both can be guided by tranquility. Tranquility ensures that spoken words and consumed food remain within proper limits. By cultivating tranquility, one develops their character.","","",2023-06-09 18:27:46.613353+00,2023-06-19 19:01:14.218945+00,,8,4,8,7,100001
28,大過,ta kuo,dà guò,Preponderance of the Great,䷛,visual_i_ching_app/img/hex28.png,"This hexagram consists of four strong lines enclosed by two weak lines. The configuration signifies a state of balance and normality when the strong elements are on the outside and the weak elements are on the inside. However, the current situation is reversed, indicating an imbalance. The hexagram depicts a beam that is sturdy and substantial in the middle but lacks strength at the ends. This condition is unsustainable and calls for a transformation; otherwise, unfortunate consequences will arise.","Preponderance of the Great.
The ridgepole sags to the breaking point.
It furthers one to have somewhere to go.
Success.","The excessive weight of the great poses a challenge as the supports are not strong enough to bear the load. The central ridgepole, crucial for the entire roof, is sagging due to weak ends. Extraordinary measures are necessary in this exceptional situation. Swift transition and decisive action are key to achieving success. Despite the overwhelming strength, it is concentrated at the center, minimizing the risk of a revolution. Forcible actions won't yield results. Instead, a gentle approach, delving into the situation's meaning, is advised (as implied by the inner trigram, Sun). By doing so, a successful transition to new conditions can be accomplished. Real superiority is required, making this a critical moment when the great dominates.","The lake rises above the trees:
The image of Preponderance of the Great.
Thus the superior man, when he stands alone,
Is unconcerned,
And if he has to renounce the world,
He is undaunted.","Extraordinary times when the great preponderates are like flood times when the lake rises over the treetops. But such conditions are temporary. The two trigrams indicate the attitude proper to such exceptional times: the symbol of the trigram Sun is the tree, which stands firm even though it stands alone, and the attribute of Tui is joyousness, which remains undaunted even if it must renounce the world.","","",2023-06-11 18:14:47.949062+00,2023-06-19 19:01:34.171664+00,,1,5,1,2,011110
39,蹇,chien,jiǎn,Obstruction,䷦,visual_i_ching_app/img/hex39.png,"The hexagram portrays a perilous abyss ahead and an impassable mountain behind. We face numerous obstacles, yet the motionless mountain offers a clue for our escape. It symbolizes the need to overcome the obstructions that arise over time. Thus, all guidance is focused on surmounting these challenges.","Obstruction. The southwest furthers.
The northeast does not further.
It furthers one to see the great man.
Perseverance brings good fortune.","In the southwest, one encounters insurmountable obstacles. It is wise to temporarily retreat and prepare for overcoming them. Joining forces with like-minded friends under capable leadership ensures success in removing the obstructions. Perseverance is crucial, even when actions seem to deviate from the goal. This unwavering determination ultimately brings good fortune. Temporary obstructions have value for self-development, as they present opportunities for growth and adversity.","Water on the mountain:
The image of Obstruction.
Thus the superior man turns his attention to himself
And molds his character.","When faced with difficulties, an individual can respond in two different ways. The inferior person tends to blame others and lament their misfortune. In contrast, the superior person looks inward, seeking their own errors and shortcomings. Through this process of introspection, the external obstacles they encounter become opportunities for personal growth and learning.","","",2023-06-12 03:38:48.339932+00,2023-06-19 19:05:14.990102+00,,6,7,3,6,001010
26,大畜,ta ch'u,dà xù,The Taming Power of the Great,䷙,visual_i_ching_app/img/hex26.png,"The hexagram gèn, Keeping Still, tames the Creative. This creates a powerful situation, contrasting with hexagram xiǎo xù, The Taming Power of the Small, where the Creative is tamed by the Gentle alone. While xiǎo xù requires one weak line to tame five strong lines, gèn restrains four strong lines with two weak lines. With a minister and a prince present, the restraining power is much stronger. The hexagram has three meanings: holding firm as in holding together, holding firm as in holding back, and holding firm as in caring for and nourishing. The presence of heaven within the mountain represents holding firm by holding together, while the trigram gèn, restraining the trigram qián, represents holding firm by holding back. The third meaning is connected to the strong line at the top, symbolizing the sage who is honored and tended to.","The Taming Power of the Great.
Perseverance furthers.
Not eating at home brings good fortune.
It furthers one to cross the great water.","To possess and preserve great creative powers, a respected and resolute individual is required. The qián trigram represents potent creative energy, while gèn symbolizes firmness and truth. Both signify clarity and the daily renewal of one's character. Through such constant self-renewal, a person can maintain their peak abilities. While habit aids in maintaining order during calm periods, in times of intense energy accumulation, everything hinges on the strength of one's character. Hence, being honored by the ruler, it is advantageous for a capable individual to seek public office rather than dine at home. Such a person aligns with heaven, enabling success even in daunting endeavors, such as crossing vast waters.","Heaven within the mountain:
The image of The Taming Power of the Great.
Thus the superior man acquaints himself with many sayings of antiquity
And many deeds of the past,
In order to strengthen his character thereby.","Throughout history, valuable lessons can be found within the words and actions of those who came before us. These treasures can serve as a source of inspiration and personal growth. To truly understand the past, it is not enough to simply acquire historical knowledge; it is through applying that knowledge that we bring the past to life and make it relevant in our own lives.","","",2023-06-09 18:24:05.704424+00,2023-06-19 19:00:50.021556+00,,2,1,4,7,111001
30,離,li,lí,The Clinging (Fire),䷝,visual_i_ching_app/img/hex30.png,"This hexagram is a double sign with the trigram lí, representing clinging and brightness. It consists of a dark line between two light lines, symbolizing an empty space between two strong lines that become bright. The trigram represents the middle daughter. Lí develops by incorporating the central line of the trigram kūn (the Receptive). It is represented by fire, which clings to the burning object and shines brightly. Similar to how water descends from the sky, fire rises from the earth. While kǎn represents the soul confined within the body, lí represents nature in its radiance.","The Clinging. Perseverance furthers.
It brings success.
Care of the cow brings good fortune.","In the natural order, darkness and light are intertwined, with darkness enhancing the brightness of light. For something luminous to sustain its radiance, it must possess enduring qualities. Light-emitting entities rely on a foundation to which they adhere, ensuring their continuous illumination. Just as the sun and moon are connected to the heavens, and vegetation clings to the earth, a dedicated individual's clarity aligns with righteousness, enabling them to shape the world. Human existence is constrained and lacking in freedom, but by acknowledging these limitations and embracing the harmonious and benevolent forces of the universe, one can attain success. The cow exemplifies utmost docility. By cultivating compliance and voluntary dependence, individuals acquire a clarity that is gentle rather than sharp, enabling them to find their rightful place in the world.","That which is bright rises twice:
The image of Fire.
Thus the great man, by perpetuating this brightness,
Illumines the four quarters of the world.","The trigrams represent the sun's daily journey and the connection between light and time. The great person continues nature's work in the human world, spreading light and enhancing its influence on humanity through their innate clarity.","","",2023-06-11 18:20:46.960623+00,2023-06-19 19:02:15.529978+00,,5,3,2,3,101101
32,恆,hêng,héng,Duration,䷟,visual_i_ching_app/img/hex32.png,"This hexagram, composed of the trigrams zhèn and xùn, represents a lasting union. Thunder and wind symbolize this union as paired phenomena. The lower trigram represents inner gentleness, while the upper trigram signifies outward movement. Socially, this hexagram represents marriage as a enduring union between individuals. During courtship, the young person submits to their partner. However, in marriage, the partner outside takes on a directing role, while the partner inside remains gentle and respectful.","Duration. Success. No blame.
Perseverance furthers.
It furthers one to have somewhere to go.","Duration is a perpetual, dynamic state unaffected by obstacles. It is not a state of immobility but rather a self-renewing movement of a cohesive, harmonious entity. This movement adheres to unchanging laws, always initiating a fresh beginning at every end. The end is achieved through an internal process, akin to inhalation, contraction, and systole, which then transitions into a new beginning characterized by outward movement, exhalation, expansion, and diastole. Celestial bodies serve as examples of duration as they move along their fixed orbits, maintaining their illuminating power. Similarly, the changing seasons adhere to a predetermined law of transformation, generating enduring effects. Likewise, a dedicated individual embodies lasting significance through their way of life, shaping the world. By comprehending the essence of durability, we can gain insight into the nature of all beings in the celestial and earthly realms.","Thunder and wind: the image of Duration.
Thus the superior man stands firm
And does not change has direction.","The independence of a superior person does not rely on a fixed and immobile character. Instead, they adapt to the changing times while staying true to their inner principles. Just as thunder and wind display extreme mobility while adhering to the laws of appearance and subsidence, a superior person follows an unswerving directive that guides their actions.","","",2023-06-11 18:27:22.045774+00,2023-06-19 19:02:55.307645+00,,1,5,2,4,011100
36,明夷,ming i,míng yí,Darkening of the Light,䷣,visual_i_ching_app/img/hex36.png,"The hexagram represents a darkened sun, symbolizing a situation opposite to the previous one. Instead of progress under wise leadership, here a person of dark nature holds authority and inflicts harm upon the wise and capable individual.","Darkening of the Light. In adversity
It furthers one to be persevering.","To overcome unfavorable circumstances, one should maintain inner strength and resilience while appearing flexible externally. By preserving one's inner light and adapting outwardly, even the most challenging adversities can be conquered. Sometimes, it becomes necessary to conceal one's true intentions in order to achieve one's goals amidst difficult surroundings. Perseverance should be deeply rooted within, yet not apparent to others. This way, individuals can uphold their determination in the face of obstacles.","The light has sunk into the earth:
The image of Darkening of the Light.
Thus does the superior man live with the great mass:
He veils his light, yet still shines.","In times of darkness, it is important to be cautious and reserved, avoiding behaviors that may provoke unnecessary hostility. Instead of following the actions of others, it is advisable to refrain from criticizing or exposing them. In social interactions, it is wise not to pretend to know everything and to let certain matters go without being deceived.","","",2023-06-11 18:38:40.647986+00,2023-06-19 19:04:06.205584+00,,6,3,4,8,101000
37,家人,chia jên,jiā rén,The Family [The Clan],䷤,visual_i_ching_app/img/hex37.png,"The hexagram uses the traditional family structure to convey a message about the principles governing the household and their broader impact on society. The lines highlight the roles of different family members, such as the father, son, husband, and wife, as represented by specific lines in the hexagram. The presence of a strong line in the sixth position emphasizes the leadership role of the head of the family.

However, it is important to note that this representation reflects traditional family roles and may not align with the dynamics of modern families. The message conveyed by the Family hexagram is rooted in the understanding that maintaining order within the family unit extends to maintaining order in the state and the world. The symbol of the wind created by fire signifies the influence emanating from the family into the outside world.",The Family. The perseverance of the woman furthers.,"The Judgment of the Hexagram ""The Family"" suggests that the perseverance of the woman is seen as beneficial and advantageous within the context of family dynamics. This statement reflects a traditional perspective where the woman's commitment and persistence play a crucial role in maintaining harmony and stability within the family unit.

However, it's important to approach this interpretation with a modern lens that acknowledges diverse family structures and gender roles. Rather than assuming a gender-specific role, the idea of perseverance can be applied to any individual within a family, regardless of their gender identity. Perseverance, in this context, implies the dedication, resilience, and commitment of all family members towards nurturing and sustaining a harmonious family environment.

By considering this interpretation in a contemporary context, we recognize the value of collective effort, shared responsibilities, and mutual support within a family, rather than assigning specific roles based on gender. The focus shifts from gendered expectations to the importance of perseverance and dedication from all individuals involved in the family unit.","Wind comes forth from fire:
The image of The Family.
Thus the superior man has substance in his words
And duration in his way of life.","Heat, symbolized by the wind stirred by fire, represents the generation of energy. This concept applies to family dynamics as well. To influence others effectively, one must first cultivate personal qualities. Words gain power when they are rooted in reality, similar to how fire relies on fuel. Their impact lies in their relevance to specific circumstances; general speeches and admonitions hold no sway. Moreover, words must align with one's actions, much like the wind gains strength when others perceive it as adaptable and trustworthy. Inconsistency between words and conduct renders them ineffective.","","",2023-06-11 18:41:32.138952+00,2023-06-19 19:04:28.012669+00,,6,3,3,5,101011
35,晉,chin,jìn,Progress,䷢,visual_i_ching_app/img/hex35.png,"The hexagram signifies the sunrise over the earth, symbolizing swift and effortless advancement, accompanied by continual growth and clarity.","Progress. The powerful prince
Is honored with horses in large numbers.
In a single day he is granted audience three times.","In a depiction of progress, a feudal lord gathers fellow lords around the sovereign, pledging loyalty and peace. The sovereign rewards him generously and fosters a closer relationship. The key idea here is that progress stems from a dependent individual who is seen as an equal by others, prompting their willingness to follow. This leader possesses clear vision, utilizing their influence for the ruler's benefit instead of abusing it. The ruler, free from jealousy, bestows gifts upon the esteemed figure and consistently invites them to court. Great progress hinges upon an enlightened ruler and a dutiful servant.","The sun rises over the earth:
The image of Progress.
Thus the superior man himself
Brightens his bright virtue.","The sun's light emerges from dark mists as it rises, spreading its pure rays over a widening area. Similarly, the true nature of man is inherently good, but contact with earthly things clouds it, requiring purification for its innate clarity to shine.","","",2023-06-11 18:34:34.607608+00,2023-06-19 19:03:48.929175+00,,7,8,6,3,000101
38,睽,k'uei,kuí,Opposition,䷥,visual_i_ching_app/img/hex38.png,"This hexagram combines the trigram lí representing flame above, and duì representing the lake below. The movements of these two elements are in indirect contrast to each other. Additionally, lí symbolizes the second daughter, while duì symbolizes the youngest daughter. Despite living in the same house, they belong with different men, resulting in divergent wills and directions.","Opposition. In small matters, good fortune.","When people are in conflict and distant from each other, they cannot collaborate effectively. Their perspectives are too divergent. In such situations, it is important not to act abruptly, as it would only intensify the opposition. Instead, focus on achieving gradual effects in small matters. Success can still be achieved because there is some room for agreement. While opposition is usually seen as an obstacle, it also serves valuable functions when it represents the polarity within a comprehensive whole. The opposition between heaven and earth, spirit and nature, and man and woman, when reconciled, leads to the creation and reproduction of life. In the visible world, the principle of opposites allows for differentiation and categorization, bringing order to the world.","Above, fire; below. The lake.
The image of Opposition.
Thus amid all fellowship
The superior man retains his individuality.","Each person retains their individuality even when engaging with others, just like fire and water exist separately. The interconnected man preserves their distinctiveness, unaffected by blending or common interests with diverse individuals.","","",2023-06-11 18:45:46.650938+00,2023-06-19 19:04:50.917567+00,,3,2,6,3,110101
43,夬,kuai,guài,Break-through (Resoluteness),䷪,visual_i_ching_app/img/hex43.png,"This hexagram represents a significant change and the breaking of barriers. It can be likened to a swollen river bursting its dikes or a sudden cloudburst. In the realm of human affairs, it symbolizes the decline of inferior individuals and their diminishing influence. Through decisive actions, a breakthrough is achieved, leading to a transformation in circumstances. This hexagram is associated with the third month of the year (April-May).","Break-through. One must resolutely make the matter known
At the court of the king.
It must be announced truthfully. Danger.
It is necessary to notify one's own city.
It does not further to resort to arms.
It furthers one to undertake something.","In the struggle between good and evil, even a single inferior person in power can oppress the superior ones. Passion can cloud reason, so it is crucial to fight relentlessly for the good to prevail. However, there are rules to follow for a successful fight against evil. First, unity and strength must be combined with a friendly approach. Second, compromise with evil is not an option; it must be openly discredited. We should also not ignore our own faults. Third, the fight should not rely solely on force, as it will only fuel hatred and passion. Instead, we should start by guarding against our own faults and not engage them directly. By doing so, we weaken the weapons of evil. Similarly, we should not directly combat our own faults, as they thrive when confronted. Ultimately, the most effective way to combat evil is by making significant progress in promoting the good.","The lake has risen up to heaven:
The image of Break-through.
Thus the superior man
Dispenses riches downward
And refrains from resting on his virtue.","When a lake's water rises to the sky, it signals the potential for a cloudburst. This serves as a warning for the wise person to prevent a destructive collapse. Accumulating wealth solely for oneself, disregarding others, will inevitably lead to a downfall. The act of gathering is always followed by dispersal. Hence, the superior individual distributes wealth while accumulating it. Similarly, when cultivating one's character, it is important to avoid becoming rigid and obstinate, instead remaining open to new experiences through diligent and ongoing self-reflection.","","",2023-06-12 03:50:39.79612+00,2023-06-19 19:06:42.53917+00,,1,1,1,2,111110
